choice,countries,sanctions
Not supported,80 of 192,15%
Not supported,160 of 192,15%
Not supported,160 of 192,None
Not supported,80 of 192,15%
Not supported,160 of 192,5%
Not supported,20 of 192,15%
Supported,160 of 192,5%
Not supported,80 of 192,20%
Supported,160 of 192,5%
Not supported,160 of 192,20%
Supported,80 of 192,15%
Supported,160 of 192,5%
Supported,160 of 192,20%
Supported,160 of 192,5%
Not supported,160 of 192,5%
Not supported,160 of 192,15%
Not supported,80 of 192,15%
Supported,20 of 192,5%
Supported,160 of 192,5%
Supported,160 of 192,5%
Supported,160 of 192,None
Supported,160 of 192,5%
Not supported,80 of 192,20%
Not supported,160 of 192,None
Not supported,80 of 192,5%
Supported,80 of 192,5%
Not supported,80 of 192,None
Supported,160 of 192,5%
Not supported,80 of 192,5%
Not supported,80 of 192,5%
Supported,80 of 192,5%
Not supported,80 of 192,15%
Supported,80 of 192,None
Supported,20 of 192,20%
Not supported,160 of 192,15%
Supported,80 of 192,None
Not supported,80 of 192,20%
Supported,160 of 192,20%
Not supported,80 of 192,None
Supported,20 of 192,None
Not supported,20 of 192,20%
Not supported,20 of 192,None
Supported,160 of 192,15%
Not supported,20 of 192,5%
Supported,160 of 192,20%
Not supported,20 of 192,None
Not supported,80 of 192,None
Supported,80 of 192,20%
Not supported,160 of 192,5%
Not supported,20 of 192,None
Supported,160 of 192,20%
Supported,80 of 192,20%
Not supported,160 of 192,None
Supported,80 of 192,20%
Not supported,20 of 192,20%
Not supported,160 of 192,5%
Not supported,160 of 192,5%
Supported,20 of 192,5%
Not supported,160 of 192,5%
Not supported,20 of 192,15%
Supported,20 of 192,None
Supported,160 of 192,5%
Not supported,80 of 192,20%
Not supported,20 of 192,5%
Supported,160 of 192,20%
Not supported,20 of 192,20%
Not supported,160 of 192,15%
Supported,20 of 192,5%
Supported,80 of 192,15%
Not supported,160 of 192,15%
Supported,160 of 192,5%
Not supported,160 of 192,5%
Not supported,160 of 192,20%
Supported,20 of 192,15%
Supported,80 of 192,20%
Not supported,80 of 192,20%
Not supported,160 of 192,15%
Not supported,80 of 192,15%
Supported,160 of 192,None
Supported,80 of 192,5%
Supported,160 of 192,20%
Supported,20 of 192,15%
Supported,20 of 192,15%
Not supported,80 of 192,20%
Supported,80 of 192,None
Supported,160 of 192,None
Not supported,80 of 192,None
Not supported,80 of 192,5%
Not supported,80 of 192,20%
Not supported,20 of 192,20%
Supported,80 of 192,5%
Not supported,20 of 192,None
Supported,20 of 192,20%
Supported,20 of 192,None
Not supported,80 of 192,15%
Supported,20 of 192,5%
Supported,20 of 192,5%
Not supported,160 of 192,20%
Not supported,20 of 192,20%
Not supported,160 of 192,20%
Supported,80 of 192,20%
Supported,80 of 192,5%
Not supported,20 of 192,None
Supported,80 of 192,None
Not supported,80 of 192,5%
Not supported,80 of 192,20%
Supported,80 of 192,15%
Supported,160 of 192,None
Supported,80 of 192,None
Supported,80 of 192,5%
Supported,80 of 192,None
Supported,80 of 192,20%
Supported,20 of 192,5%
Not supported,20 of 192,15%
Supported,80 of 192,20%
Not supported,160 of 192,None
Supported,160 of 192,5%
Supported,160 of 192,20%
Supported,80 of 192,None
Supported,80 of 192,15%
Not supported,80 of 192,None
Not supported,160 of 192,15%
Supported,160 of 192,5%
Supported,160 of 192,20%
Not supported,160 of 192,15%
Supported,20 of 192,15%
Not supported,80 of 192,15%
Supported,20 of 192,5%
Not supported,20 of 192,20%
