id,female,age,education,political,treatment_str,risky,green,duration_survey,winner,loser,bonus_startup,bonus_ingame,bonus_lottery,bonus_final,repeater
0,0,23,5,-1,Base (nw),NA,NA,75,1,0,0.5,0.5,8,8.5,0
1,1,33,5,1,Nominal choice (w),NA,0,667,1,0,0.5,0.5,8,8.5,0
2,1,53,2,-1,Base (w),NA,NA,717,0,1,0.5,0.5,0,0.5,0
3,1,50,3,1,Forced choice strong,1,NA,547,0,1,0.5,0.5,0,0.5,0
4,0,57,5,2,Forced choice (w),1,NA,2652,1,0,0.5,0.5,8,8.5,0
5,1,37,4,-2,Forced choice (w),1,NA,869,0,1,0.5,0.5,0,0.5,0
6,1,29,7,-2,Base (w),NA,NA,884,1,0,0.5,0.5,8,8.5,0
7,1,47,6,1,Forced choice (w),1,NA,620,1,0,0.5,0.5,8,8.5,0
8,0,58,2,2,Base (w),NA,NA,753,1,0,0.5,0.5,8,8.5,0
9,1,39,3,-2,Nominal choice (w),NA,1,686,1,0,0.5,0.5,8,8.5,0
10,0,21,3,0,Forced choice (nw),1,NA,858,1,0,0.5,0.5,8,8.5,0
11,1,26,5,-2,Nominal choice (nw),NA,1,548,0,1,0.5,0.5,0,0.5,0
12,0,29,5,-1,Forced choice (nw),1,NA,164,0,1,0.5,0.5,0,0.5,0
13,1,32,3,-1,Base (w),NA,NA,622,0,1,0.5,0.5,0,0.5,0
14,1,27,5,-2,Forced choice (nw),1,NA,106,0,1,0.5,0.5,0,0.5,0
15,0,74,2,-1,Base (nw),NA,NA,113,0,1,0.5,0.5,0,0.5,0
16,1,33,3,-2,Base (w),NA,NA,707,1,0,0.5,0.5,8,8.5,0
17,1,35,6,-2,Forced choice very strong,1,NA,611,1,0,0.5,0.5,8,8.5,0
18,1,53,5,1,Base (nw),NA,NA,351,0,1,0.5,0.5,0,0.5,0
19,0,44,2,1,Forced choice very strong,1,NA,1037,1,0,0.5,0.5,8,8.5,0
20,1,32,2,1,Base (w),NA,NA,588,1,0,0.5,0.5,8,8.5,0
21,0,28,4,-1,Nominal choice (w),NA,0,616,0,1,0.5,0.5,0,0.5,0
22,0,35,5,-1,Forced choice very strong,0,NA,592,0,0,0.5,0.25,NA,0.25,0
23,1,19,3,-1,Forced choice (w),1,NA,798,0,1,0.5,0.5,0,0.5,0
24,0,27,5,-1,Nominal choice (nw),NA,1,667,0,1,0.5,0.5,0,0.5,0
25,1,61,5,-2,Base (w),NA,NA,585,0,1,0.5,0.5,0,0.5,0
26,1,24,2,-2,Forced choice (nw),0,NA,47,0,0,0.5,0.75,NA,0.75,1
27,1,67,3,-2,Forced choice (nw),0,NA,82,0,0,0.5,0.75,NA,0.75,0
28,1,27,5,-2,Forced choice strong,1,NA,611,0,1,0.5,0.5,0,0.5,0
29,1,54,6,-1,Forced choice strong,1,NA,759,0,1,0.5,0.5,0,0.5,0
30,0,31,5,-1,Base (nw),NA,NA,180,1,0,0.5,0.5,8,8.5,0
31,0,33,6,-2,Nominal choice (nw),NA,1,176,0,1,0.5,0.5,0,0.5,0
32,1,58,2,1,Forced choice (nw),1,NA,267,0,1,0.5,0.5,0,0.5,0
33,1,53,3,1,Nominal choice (nw),NA,1,65,0,1,0.5,0.5,0,0.5,0
34,1,27,4,0,Base (w),NA,NA,693,0,1,0.5,0.5,0,0.5,0
35,1,38,6,-2,Base (w),NA,NA,896,1,0,0.5,0.5,8,8.5,0
36,0,21,2,-2,Base (nw),NA,NA,124,0,1,0.5,0.5,0,0.5,0
37,1,41,2,0,Base (w),NA,NA,647,0,1,0.5,0.5,0,0.5,0
38,1,24,5,-1,Forced choice (w),0,NA,558,0,0,0.5,0.75,NA,0.75,0
39,0,36,5,-1,Nominal choice (w),NA,1,606,0,1,0.5,0.5,0,0.5,0
