pid,location,sesid,T,lotteryposition,transfer,payment,kull,sex,age,polparty,cr,cr1,cr2,cr3
1,1,2,2,G,250,100,2,2,24,6,0,0,0,0
2,1,2,1,Y,200,100,1,1,22,6,3,1,1,1
3,1,2,3,Y,400,850,9,2,20,2,2,0,1,1
4,1,2,1,Y,400,500,2,2,23,2,3,1,1,1
5,1,2,3,Y,400,500,1,2,22,6,0,0,0,0
6,1,2,1,Y,300,900,1,2,21,2,0,0,0,0
8,1,2,2,Y,400,100,2,1,24,5,3,1,1,1
9,1,2,2,G,400,500,9,2,20,5,1,0,1,0
10,1,2,1,Y,200,500,1,2,23,2,0,0,0,0
11,1,2,1,Y,400,500,9,2,19,6,0,0,0,0
12,1,2,2,G,0,100,9,1,20,3,1,0,0,1
14,1,2,3,Y,300,500,9,2,21,6,1,1,0,0
15,1,2,3,S,400,125,9,2,22,6,0,0,0,0
17,1,2,2,G,400,500,1,2,23,2,0,0,0,0
19,1,2,2,G,300,900,1,2,21,2,0,0,0,0
20,1,2,1,Y,400,500,9,2,20,5,1,0,0,1
22,1,2,1,Y,0,700,2,2,21,2,1,0,0,1
24,1,2,1,Y,0,900,2,1,24,6,2,1,0,1
25,1,2,2,Y,400,500,9,2,24,NA,1,1,0,0
26,1,2,3,Y,400,100,1,2,27,1,1,0,0,1
27,1,2,2,G,0,100,1,2,21,6,3,1,1,1
28,1,2,3,Y,0,100,9,2,21,6,0,0,0,0
30,1,2,2,Y,200,500,1,1,22,6,2,0,1,1
32,1,2,1,Y,0,300,1,1,22,4,1,0,0,1
33,1,2,2,Y,0,100,1,1,20,5,0,0,0,0
34,1,2,1,Y,400,900,1,2,21,6,0,0,0,0
36,1,8,2,G,400,500,1,1,22,2,1,0,1,0
37,1,8,1,Y,400,600,1,1,23,6,1,1,0,0
38,1,8,2,Y,100,450,9,2,27,2,0,0,0,0
39,1,8,1,Y,200,500,1,1,23,NA,2,1,1,0
40,1,8,1,Y,400,400,1,1,21,2,2,1,0,1
